id,episode,season,ep#,date-aired,written-by,directed-by,synopsis,wiki-link,yt-link
11,Fun Run,4,1 & 2,27-Sep-07,Greg Daniels,Greg Daniels,"In the episode, Michael Scott (Steve Carell) believes the office is cursed after he accidentally hits Meredith Palmer (Kate Flannery) with his car. After being taken to the hospital, Meredith is found to have rabies. In an attempt to make amends with Meredith, Michael sponsors a fun run for rabies. Meanwhile, it is revealed that Jim Halpert (John Krasinski) and Pam Beesly (Jenna Fischer) are dating, while Angela Martin (Angela Kinsey) is mad at Dwight Schrute (Rainn Wilson) for killing her cat Sprinkles.",https://en.wikipedia.org/wiki/Fun_Run,/8zQWubk8SDQ
12,Money,4,7 & 8,18-Oct-07,Paul Lieberstein,Paul Lieberstein,"In this episode, Jan, now living with Michael, forces costly changes in Michael's life. This causes Michael to worry about his financial situation. To remedy the problem, Michael leaves work early for a late night job as a telemarketer until 1 a.m. When Ryan finds out, he forces Michael to quit, who then fears that there is no way in which he can support Jan and himself. He hops a train to run away, but Jan meets him and tells him that they can work together to find a way to live. Meanwhile, Dwight pines over Angela, who is later asked out by Andy. After a pep-talk by Jim, Dwight returns as his normal annoying self, to Jim's pleasure. Pam and Jim visit Dwight's family farm, which he has fashioned into a bed and breakfast.",https://en.wikipedia.org/wiki/Money_(The_Office),/Ydi_pqaoZ44
13,Dinner Party,4,13,10-Apr-08,Lee Eisenberg & Gene Stupnitsky,Paul Feig,"In this episode, Michael Scott and his girlfriend Jan Levinson (Melora Hardin), the former Vice-President of Regional Sales at the Dunder Mifflin corporate office in New York City, throw a dinner party and invite Jim Halpert (John Krasinski) and Pam Beesly (Jenna Fischer), and Andy Bernard (Ed Helms) and Angela Martin (Angela Kinsey), as well as an uninvited Dwight Schrute (Rainn Wilson). The party ends with Michael and Jan having a loud argument; Michael leaves with Dwight on the advice of two police officers who respond to a domestic disturbance call after the fight.",https://en.wikipedia.org/wiki/Dinner_Party_(The_Office),/af0GMFIlb4Q
14,Weight Loss,5,1 & 2,25-Sep-08,Lee Eisenberg & Gene Stupnitsky,Paul Feig,"In this episode, the whole office participates in a company-wide weight loss contest. Pam (Jenna Fischer) is in New York City for art school, which causes her and Jim to have to adjust to being temporarily apart. An awkward tension between Michael (Steve Carell) and Holly (Amy Ryan) develops after she accepts a date with another man. Meanwhile, Angela (Angela Kinsey) and Dwight (Rainn Wilson) continue their secret relationship despite Angela's upcoming wedding to Andy.",https://en.wikipedia.org/wiki/Weight_Loss_(The_Office),/kmLZBSET0us
15,Stress Relief,5,14 & 15,1-Feb-09,Paul Lieberstein,Jeffrey Blitz,"In this episode, Dwight stages a fire in the office to test the office's fire safety skills, but things go from bad to worse when Stanley suffers a heart attack, causing Michael to come up with ways to relieve stress in the office, including a comedic roast of himself. Meanwhile, Andy, Jim, and Pam watch an illegally downloaded movie at work starring Jack Black, Jessica Alba and Cloris Leachman, and Pam deals with her parents' recent argument that's caused her father to move in with her and Jim temporarily.",https://en.wikipedia.org/wiki/Stress_Relief_(The_Office),/aiMcewLra2g
16,Golden Ticket,5,19,12-Mar-09,Mindy Kaling,Randall Einhorn,"In this episode, Michael excitedly starts a Willy Wonka-inspired promotional gimmick providing discounts to customers who receive golden tickets, then tries to blame the idea on Dwight when the promotion appears to cost the company a large amount of money. In a B story, Kevin receives conflicting romantic advice from Andy, Jim and Pam.",https://en.wikipedia.org/wiki/Golden_Ticket_(The_Office),/zl91NnFHTkQ
17,Michael Scott Paper Company,5,23,9-Apr-09,Justin Spitzer,Gene Stupnitsky,"In this episode, Michael, Pam and Ryan try to get their new paper company off the ground, but end up bickering among themselves due to the stress and cramped office space. Meanwhile, Jim tries to do a ""rundown"" for new boss Charles Miner without admitting he does not know what a rundown is, while Dwight and Andy compete for the affections of the new receptionist, Erin, played by Ellie Kemper.",https://en.wikipedia.org/wiki/Michael_Scott_Paper_Company,/0jpdgiyVL4A
18,Broke,5,25,23-Apr-09,Charlie Grandy,Steve Carell,"In this episode, Michael learns his paper company is broke, and tries to keep this fact a secret when Dunder Mifflin offers to buy out the Michael Scott Paper Company since the company has stolen most of Dunder Mifflin Scranton's core clients.",https://en.wikipedia.org/wiki/Broke_(The_Office),/jHNBKg9xI6Q
19,Casual Friday,5,26,30-Apr-09,Anthony Q. Farrell,Brent Forrester,"In this episode, Michael, Pam and Ryan return to Dunder Mifflin as salespeople, and other members of the sales staff become upset when they do not get their old clients back that the Michael Scott Paper Company stole from them. Meanwhile, Jim tries to remain neutral about the situation and plays board games with Creed, and Casual Friday is reinstated in the office, with mixed results.",https://en.wikipedia.org/wiki/Casual_Friday_(The_Office),/jgQEZ3B-oTI
20,Cafe Disco,5,27,7-May-09,Warren Lieberstein & Halsted Sullivan,Randall Einhorn,"In this episode, Michael, feeling the office is overworked after the recent reign of Charles Miner, sets up a ""cafe disco"" in his old Michael Scott Paper Company office. Phyllis injures her back dancing at the cafe disco and bonds with Dwight as he tries to relieve her back. Meanwhile, Jim and Pam plan to elope.",https://en.wikipedia.org/wiki/Cafe_Disco,/HhUaOyI7paI
21,Gossip,6,1,17-Sep-09,Paul Lieberstein,Paul Lieberstein,"In this episode, Michael spreads a rumor about Stanley having an affair, then spreads a series of false rumors to try to convince everyone the original rumor was not true. The rumors cause Andy to question his sexuality, and Pam and Jim to debate whether or not to tell the office that Pam is pregnant.",https://en.wikipedia.org/wiki/Gossip_(The_Office),/J-L3Np3whu0
22,Murder,6,10,12-Nov-09,Daniel Chun,Greg Daniels,"In this episode, rumors spread that Dunder Mifflin is in serious financial trouble, so Michael Scott (Steve Carell) tries to distract the office by having everyone play a murder mystery game called Belles, Bourbon, and Bullets. Meanwhile, Andy Bernard (Ed Helms) uses the game as a way to ask out Erin (Ellie Kemper), but fears he may have asked out Erin's character, instead of Erin herself.",https://en.wikipedia.org/wiki/Murder_(The_Office),/x-8ysr-D7kI
23,Scott's Tots,6,12,3-Dec-09,Lee Eisenberg & Gene Stupnitsky,B. J. Novak,"In this episode, it is revealed that ten years earlier, Michael Scott (Steve Carell) heedlessly promised to pay for the college tuition of an entire local third grade class. Now, lacking the personal wealth necessary to fulfill his promise, he and Erin Hannon (Ellie Kemper) must go tell the students, who are now high school seniors, that they will not be receiving the money. Meanwhile, in Michael's absence, Dwight Schrute (Rainn Wilson) convinces Jim Halpert (John Krasinski) to start an employee-of-the-month program with the intention of getting Jim into trouble.",https://en.wikipedia.org/wiki/Scott%27s_Tots,/x0N2ZxQJYTw
24,Secret Santa,6,13,10-Dec-09,Mindy Kaling,Randall Einhorn,"In this episode, the office throws a Christmas party, and Michael is upset when Jim allows Phyllis to be Santa, since he has always been the one to dress up. Meanwhile, Oscar develops a crush on a new warehouse worker, and Andy's secret Santa gift to Erin – the 12 Days of Christmas, featuring live birds – does not go as well as planned.",https://en.wikipedia.org/wiki/Secret_Santa_(The_Office),/nD4pI_INaJA
25,Threat Level Midnight,7,17,17-Feb-01,B. J. Novak,Tucker Gates,"In this episode, Michael Scott (Steve Carell) screens his action film Threat Level Midnight to the office after ten years of writing, shooting, re-shooting, and editing. This film features Michael as Agent Michael Scarn, Dwight Schrute (Rainn Wilson) as Scarn's robot butler, and Jim Halpert (John Krasinski) as Scarn's archnemesis ""Goldenface"".",https://en.wikipedia.org/wiki/Threat_Level_Midnight,/7iPyz6Yqwl4
